name,AQI,quality,PM25,lon,lat
沧州,8,优,37,116.838835,38.304477
威海,53,良,61,122.12042,37.513068
鄂尔多斯,55,良,33,109.781327,39.608266
厦门,56,良,35,118.089425,24.479834
拉萨,58,良,28,91.140856,29.645554
泉州,63,良,39,118.675464,24.874699
乌鲁木齐,68,良,104,87.616848,43.825592
玉溪,73,良,44,102.546543,24.352036
昆明,74,良,32,102.832892,24.880095
大同,80,良,100,113.300126,40.076816
阳泉,81,良,86,113.580519,37.856972
大连,84,良,103,121.614682,38.914003
西宁,84,良,80,101.778228,36.617144
汕头,85,良,37,116.681838,23.353299
张家口,85,良,40,114.887543,40.824418
福州,85,良,139,119.296494,26.074508
烟台,91,良,122,121.447935,37.463822
河源,93,良,78,114.700447,23.743538
临汾,95,良,74,111.518976,36.088005
延安,98,良,61,109.489727,36.585455
海口,98,良,74,110.328859,20.030793
承德,104,轻度污染,38,117.962411,40.954071
惠州,110,轻度污染,77,114.416196,23.111847
丹东,113,轻度污染,24,124.354707,40.0005
广州,117,轻度污染,97,113.264435,23.129163
铜川,117,轻度污染,67,108.945233,34.896756
盐城,118,轻度污染,126,120.163562,33.347383
秦皇岛,119,轻度污染,86,119.600492,39.935377
深圳,121,轻度污染,84,114.057868,22.543099
葫芦岛,126,轻度污染,74,120.836932,40.711052
青岛,132,轻度污染,174,120.38264,36.067082
珠海,133,轻度污染,79,113.576726,22.270715
中山,133,轻度污染,109,113.392782,22.517646
营口,134,轻度污染,151,122.235418,40.667012
肇庆,138,轻度污染,102,112.465091,23.047192
东莞,141,轻度污染,110,113.751765,23.020536
重庆,141,轻度污染,115,106.551557,29.56301
贵阳,143,轻度污染,92,106.630154,26.647661
沈阳,144,轻度污染,57,123.431475,41.805698
宝鸡,144,轻度污染,118,107.237974,34.36198
盘锦,145,轻度污染,119,122.070714,41.119997
清远,145,轻度污染,94,113.056031,23.681764
江门,145,轻度污染,134,113.081901,22.578738
佛山,146,轻度污染,112,113.121416,23.021548
太原,148,轻度污染,109,112.548879,37.87059
北海,149,轻度污染,104,109.119927,21.481254
渭南,152,中度污染,186,109.509786,34.499995
兰州,154,中度污染,153,103.834304,36.061089
南通,154,中度污染,114,120.894339,31.980175
长春,154,中度污染,57,125.323544,43.817072
西安,155,中度污染,154,108.940175,34.341568
温州,164,中度污染,179,120.699367,27.994267
韶关,169,中度污染,146,113.597522,24.810403
徐州,171,中度污染,153,117.284124,34.205768
柳州,171,中度污染,123,109.415953,24.325502
潍坊,172,中度污染,184,119.161756,36.706774
郑州,172,中度污染,176,113.625368,34.7466
南宁,182,中度污染,133,108.366129,22.817239
长治,183,中度污染,182,113.116255,36.195386
呼和浩特,189,中度污染,136,111.749181,40.842585
扬州,209,重度污染,229,119.412966,32.39421
日照,211,重度污染,224,119.526888,35.416377
丽水,213,重度污染,175,119.922796,28.46763
济南,213,重度污染,182,117.120497,36.650997
湘潭,215,重度污染,226,112.944049,27.829738
银川,216,重度污染,186,106.230909,38.487194
东营,217,重度污染,328,118.674767,37.434751
天津,218,重度污染,318,117.200983,39.084158
哈尔滨,219,重度污染,209,126.53626,45.80227
衡水,221,重度污染,198,115.670177,37.73892
成都,224,重度污染,244,104.066541,30.572269
滨州,226,重度污染,320,117.970703,37.38199
长沙,229,重度污染,255,112.938814,28.228209
镇江,230,重度污染,187,119.425836,32.187849
北京,231,重度污染,235,116.407526,39.90403
包头,231,重度污染,219,109.840347,40.657449
唐山,233,重度污染,224,118.180194,39.630867
咸阳,240,重度污染,285,108.708991,34.329605
株洲,240,重度污染,213,113.134003,27.82755
宿迁,243,重度污染,233,118.275198,33.963232
枣庄,246,重度污染,240,117.323725,34.810488
淮安,252,重度污染,277,119.015286,33.610354
淄博,255,重度污染,212,118.054927,36.813487
莱芜,272,重度污染,221,117.676731,36.213691
南昌,272,重度污染,294,115.858121,28.683213
连云港,276,重度污染,558,119.221611,34.596653
菏泽,282,重度污染,324,115.480656,35.23375
邯郸,284,重度污染,332,114.539085,36.625604
德州,290,重度污染,548,116.357465,37.434093
聊城,291,重度污染,376,115.985371,36.456704
泰安,293,重度污染,293,117.087614,36.200252
台州,306,严重污染,200,121.420757,28.656386
济宁,307,严重污染,310,116.587099,35.414921
南京,331,严重污染,284,118.796877,32.060255
上海,345,严重污染,115,121.473701,31.230416
衢州,352,严重污染,460,118.859457,28.97008
廊坊,353,严重污染,496,116.683752,39.538047
武汉,354,严重污染,343,114.305393,30.593099
临沂,371,严重污染,387,118.356448,35.104672
无锡,375,严重污染,227,120.31191,31.49117
杭州,375,严重污染,408,120.15507,30.274085
常州,378,严重污染,268,119.973987,31.810689
合肥,380,严重污染,312,117.227239,31.820587
湖州,389,严重污染,396,120.086823,30.894348
嘉兴,391,严重污染,222,120.758543,30.753924
苏州,393,严重污染,242,120.585316,31.298886
石家庄,417,严重污染,233,114.51486,38.042307
舟山,431,严重污染,243,122.207216,29.985295
邢台,431,严重污染,426,114.504844,37.070589
保定,444,严重污染,289,115.464806,38.873891
金华,445,严重污染,449,119.647445,29.079059
绍兴,456,严重污染,418,120.586109,29.995762
宁波,475,严重污染,408,121.54399,29.868336
